	Sample_ID	Sample_Condition	Sample_Replicate	scaling
MAU4699A24	MAU4699A24	KO_120minIL2	R1	0.956099910237276
MAU4699A30	MAU4699A30	KO_120minIL2	R2	0.808119778006405
MAU4699A36	MAU4699A36	KO_120minIL2	R3	1.61585120413136
MAU4699A6	MAU4699A6	WT_120minIL2	R1	1.44477022686042
MAU4699A12	MAU4699A12	WT_120minIL2	R2	1.36550453509337
MAU4699A18	MAU4699A18	WT_120minIL2	R3	1.65192745816384
MAU4699A22	MAU4699A22	KO_30minIL2	R1	1.20952525315751
MAU4699A28	MAU4699A28	KO_30minIL2	R2	1.35023469616561
MAU4699A34	MAU4699A34	KO_30minIL2	R3	1.30268752955518
MAU4699A4	MAU4699A4	WT_30minIL2	R1	1.35452006799468
MAU4699A10	MAU4699A10	WT_30minIL2	R2	1.23603596325638
MAU4699A16	MAU4699A16	WT_30minIL2	R3	0.905762248694723
MAU4699A23	MAU4699A23	KO_60minIL2	R1	0.155305069441157
MAU4699A29	MAU4699A29	KO_60minIL2	R2	1.44500002144423
MAU4699A35	MAU4699A35	KO_60minIL2	R3	1.280744842888
MAU4699A5	MAU4699A5	WT_60minIL2	R1	1.09870970107088
MAU4699A11	MAU4699A11	WT_60minIL2	R2	1.31707931919395
MAU4699A17	MAU4699A17	WT_60minIL2	R3	1.44502562520151
MAU4699A19	MAU4699A19	KO_naive	R1	1.25040878041518
MAU4699A25	MAU4699A25	KO_naive	R2	1.27761319957609
MAU4699A31	MAU4699A31	KO_naive	R3	1.63930145318914
MAU4699A1	MAU4699A1	WT_naive	R1	1.34882761946673
MAU4699A7	MAU4699A7	WT_naive	R2	0.395766338888387
MAU4699A13	MAU4699A13	WT_naive	R3	1.46117616932031
MAU4699A21	MAU4699A21	KO_restedIL12	R1	1.26866237081115
MAU4699A27	MAU4699A27	KO_restedIL12	R2	1.48749382548638
MAU4699A33	MAU4699A33	KO_restedIL12	R3	1.05292124707218
MAU4699A3	MAU4699A3	WT_restedIL12	R1	1.40562231069047
MAU4699A9	MAU4699A9	WT_restedIL12	R2	1.37273479749104
MAU4699A15	MAU4699A15	WT_restedIL12	R3	0.629414939014502
MAU4699A20	MAU4699A20	KO_TCR24h	R1	1.40979543399361
MAU4699A26	MAU4699A26	KO_TCR24h	R2	1.12029195065584
MAU4699A32	MAU4699A32	KO_TCR24h	R3	1.44354486585394
MAU4699A2	MAU4699A2	WT_TCR24h	R1	1.6706271012009
MAU4699A8	MAU4699A8	WT_TCR24h	R2	1.39837357693892
MAU4699A14	MAU4699A14	WT_TCR24h	R3	1.29972092434978
